customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,tenure_month,is_female,has_churned,has_phone,has_internet,has_internet_and_phone,service_type,partner_dependents,start_date,average_month,contract_type,phone_type,internet_type
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.044207317,9,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,5/3/2020,65.6,1 Year,One Line,DSL
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.05509182,9,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,5/3/2020,59.9,Month-to-Month,Two or More Lines,DSL
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.800405954,4,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,11/3/2020,73.9,Month-to-Month,One Line,Fiber Optic
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,12.63112245,13,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,2/3/2020,98,Month-to-Month,One Line,Fiber Optic
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.187127533,3,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,11/3/2020,83.9,Month-to-Month,One Line,Fiber Optic
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.234149856,8,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,2,6/3/2020,69.4,Month-to-Month,One Line,DSL
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.05332726,72,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,2/3/2015,109.7,2 Year,One Line,Fiber Optic
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.52982871,64,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,11/3/2015,84.65,2 Year,Two or More Lines,Fiber Optic
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.06120332,7,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,7/3/2020,48.2,Month-to-Month,One Line,DSL
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.86954118,66,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,9/3/2015,90.45,2 Year,Two or More Lines,DSL
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.4369469,54,FALSE,FALSE,FALSE,TRUE,FALSE,Internet Only,0,8/3/2016,45.2,2 Year,No Phone Service,DSL
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.40368151,72,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,2/3/2015,116.8,2 Year,Two or More Lines,Fiber Optic
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.097897027,5,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,9/3/2020,68.95,Month-to-Month,One Line,Fiber Optic
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.68065153,72,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,3/3/2015,101.3,2 Year,Two or More Lines,Fiber Optic
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.82796892,57,TRUE,FALSE,FALSE,TRUE,FALSE,Internet Only,0,6/3/2016,45.05,2 Year,No Phone Service,DSL
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.53420366,72,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,3/3/2015,95.75,2 Year,Two or More Lines,Fiber Optic
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.54204082,33,TRUE,FALSE,FALSE,TRUE,FALSE,Internet Only,3,6/3/2018,61.25,1 Year,No Phone Service,DSL
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,1/3/2021,72.1,Month-to-Month,Two or More Lines,Fiber Optic
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.5215311,45,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,6/3/2017,62.7,1 Year,One Line,DSL
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,Internet Only,0,1/3/2021,25.1,Month-to-Month,No Phone Service,DSL
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,51.83730159,52,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,1,11/3/2016,25.2,1 Year,Two or More Lines,No Internet Service
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,12.91817216,13,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,2/3/2020,94.1,Month-to-Month,Two or More Lines,Fiber Optic
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.08895522,22,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,4/3/2019,83.75,Month-to-Month,Two or More Lines,Fiber Optic
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,2.881612091,3,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,12/3/2020,19.85,Month-to-Month,One Line,No Internet Service
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,3.751842752,4,TRUE,TRUE,TRUE,FALSE,TRUE,Phone Only,3,11/3/2020,20.35,Month-to-Month,One Line,No Internet Service
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,Internet Only,3,1/3/2021,30.5,Month-to-Month,No Phone Service,DSL
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,54.54918033,55,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,8/3/2016,103.7,1 Year,One Line,Fiber Optic
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.46078431,53,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,9/3/2016,20.4,2 Year,One Line,No Internet Service
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.07397959,24,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,2/3/2019,19.6,1 Year,One Line,No Internet Service
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,70.90862944,71,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,4/3/2015,19.7,2 Year,One Line,No Internet Service
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,35.60910088,36,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,3/3/2018,91.2,1 Year,One Line,Fiber Optic
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.05378973,44,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,1,6/3/2017,20.45,1 Year,One Line,No Internet Service
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,68.58506045,69,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,6/3/2015,115.8,1 Year,Two or More Lines,Fiber Optic
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.37226277,65,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,9/3/2015,20.55,1 Year,One Line,No Internet Service
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,20.94923858,21,FALSE,FALSE,FALSE,TRUE,FALSE,Internet Only,3,6/3/2019,39.4,2 Year,No Phone Service,DSL
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,42.63545817,43,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,2,8/3/2017,25.1,2 Year,Two or More Lines,No Internet Service
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.22939866,55,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,7/3/2016,89.8,Month-to-Month,Two or More Lines,Fiber Optic
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.07810026,59,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,3/3/2016,94.75,Month-to-Month,Two or More Lines,Fiber Optic
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.0591133,11,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,3/3/2020,20.3,2 Year,One Line,No Internet Service
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,25.46534653,25,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,1/3/2019,75.75,Month-to-Month,Two or More Lines,Fiber Optic
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,1.849746193,2,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,1/3/2021,49.25,Month-to-Month,One Line,DSL
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,26.58503836,27,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,12/3/2018,78.2,1 Year,One Line,DSL
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,24.72941176,25,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,2/3/2019,25.5,2 Year,Two or More Lines,No Internet Service
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,26.1525974,26,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,12/3/2018,61.6,1 Year,One Line,DSL
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,27.61,28,FALSE,FALSE,FALSE,TRUE,FALSE,Internet Only,2,11/3/2018,45,Month-to-Month,No Phone Service,DSL
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.17733412,74,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,12/3/2014,85.15,2 Year,Two or More Lines,DSL
